block,numOfEth,numOfDai
8939330,0,0
9380504,8441.524177667475579953,1456976.171115290273363366
9601091,10547.83219743929688931,2361692.228755441548777115
9821678,15606.020423870507373851,2684987.056122678442669238
10042265,19353.148742824553882157,3679385.958889760044470015
10042267,19353.148742824553882157,3679385.958889760044470015
10239033,11796.176456748875138217,2865215.120265670940689145
10435799,2278.39811190057858959,538217.661359190190805523
10632565,1018.243984451736936371,397105.235426410146640539
10829331,606.32478979447918531,213600.248524309940926005
10829331,606.32478979447918531,213600.248524309940926005
10835799,607.197307837086860905,213496.959677679893519575
10842267,605.227272707184836,214425.80023856123895981
10848735,591.08491560404499164,216639.600435755527238877
10855203,593.361025408845256872,206500.176155597828081117
10861671,585.326532421441779422,210357.022483941304910479
10861674,585.326532421441779422,210357.022483941304910479
11240261,482.049807637244874306,219785.08382335932907349
11618848,250.778179527267490947,300905.325708751326032921
11997435,210.32291561591750367,358004.560318511622857025
12376022,143.76028538234972867,487455.233975066486085383
12476022,161.390289643779854115,440590.207282908100559529
12576022,163.506126434236110927,430316.253177799799903822
12658888,177.377653523616709745,398483.575366810102767491
